marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
DIANA,Harina Diana maíz blanco x500g,2890,500,5.78,gr,despensa
DONA PEPA,Arroz Doña Pepa parbolizado x3000g,19590,3000,6.53,gr,despensa
SUPREMO,Arroz Supremo x3000g,14990,2998,5,gr,despensa
LA MUNECA,Pasta Spaghetti Pastas La muñeca x500g,4190,500,8.38,gr,despensa
KARI,Vinagre Kari blanco x3000cc,11590,3003,3.86,ml,despensa
EXCELENCIA,Aceitunas Excelencia verde sin hueso x190gr,4690,224,20.98,gr,despensa
DIANA,Garbanzo Diana seleccionados x1000g,10590,1000,10.59,gr,despensa
DIANA,Aceite Diana Premium canola y girasol x3000ml,55490,4285,12.95,ml,despensa
VAN CAMPS,Sardina Cilíndrica Van Camps Abre fácil x 170g,6190,119,52.02,gr,despensa
EL REY,Paprika pura El Rey bolsa x25g,1650,25,66,gr,despensa
CHOCO LISTO,Mezcla en polvo Chocolisto x440g,13990,440,31.8,gr,despensa
CUISINE & CO NBE MP,Maíz Cuisine&Co dulce x150g,2590,140,18.5,gr,despensa
COLCAFE,Café Colcafé vainilla instantáneo x50g,7590,50,151.8,gr,despensa
INCAUCA,Azúcar Incauca blanca especial x2.5kg,11990,2498,4.8,gr,despensa
MAGGI,Base para pastas Salsa Carbonara Maggi x50g,3490,50,69.8,gr,despensa
MONTICELLO,Pasta Monticello spaguetti x 500 g.,7590,500,15.18,gr,despensa
EL REY,Comino molido El Rey bolsa x55g,2350,55,42.73,gr,despensa
PREMIER,Aceite Premier oliva extra virgen x250ml,17590,357,49.25,ml,despensa
VAN CAMPS,Atún Van Camps Lomitos Aceite Oliva x 160g,11390,130,87.62,gr,despensa
CLIGHT,Refresco instantaneo Clight mandarina x14g,2190,14,156.43,gr,despensa
MAGGI,Base para pastas Salsa Bechamel Maggi x50g,3490,50,69.8,gr,despensa
LA NIEVE,Harina precocida blanca x500g,1850,500,3.7,gr,despensa
YBARRA,Aceite Ybarra oliva x3L,75990,3000,25.33,ml,despensa
TOSH,Barra de cereal Tosh trozos arándanos nueces x6unds x138g,8990,138,65.14,gr,despensa
FROOT LOOPS,Cereal Froot Loops x450g,23590,643,36.7,gr,despensa
ZENU,Fríjoles Zenú antioqueños x 580g,9590,580,16.53,gr,despensa
CAFE QUINDIO,Café Quindío Gourmet grano x500g,34990,500,69.98,gr,despensa
MATIZ,Café Matiz 07 Escarlata intenso x340g,21490,425,50.56,gr,despensa
INCAUCA,Azúcar Incauca morena x2.5kg,11990,2498,4.8,gr,despensa
EL REY,Orégano El Rey bolsa x10g,1590,10,159,gr,despensa
MAXIMA MP,Panela Máxima cuadrada x450g,2890,450,6.42,gr,despensa
BUENDIA,Café Buendía clásico x170g,24590,170,144.65,gr,despensa
DIANA,Frijoles Diana bola roja seleccionados x1000g,0,null,0,null,despensa
ROA,Arroz Roa x1kg,4990,1000,4.99,gr,despensa
MAXIMA MP,Arroz Máxima blanco x3kg,12390,3000,4.13,gr,despensa
DE NIGRIS,Vinagre De Nigris sidra manzana organico x1000ml,21990,1250,17.59,ml,despensa
CAROLINA,Granola Carolina tropical x500g,8790,500,17.58,gr,despensa
TOT,Maíz pira Tot x500g,4290,500,8.58,gr,despensa
BARILLA,Pasta Fusilli Barilla x500g,11590,500,23.18,gr,despensa
YBARRA,Aceite Ybarra oliva extra virgen x750ml,27990,1072,26.12,ml,despensa
INCAUCA,Azúcar Incauca blanca especial x5kg,23590,4998,4.72,gr,despensa
HINDU,Aromatica hierbabuena hindu x 32 g,3590,32,112.19,gr,despensa
MAGGI,Caldo de gallina Maggi cubos x12und x132g,5790,132,43.86,gr,despensa
LA SOBERANA,Atún La Soberana aceite girasol x3und x240g,17590,240,73.29,gr,despensa
ALAMAR,Atún Alamar rallado en agua x150 g,4390,150,29.27,gr,despensa
CUISINE & CO NBE MP,Chocolate Cuisine&Co tradicional x500g,6790,500,13.58,gr,despensa
LA CONSTANCIA,Mayonesa dp x1000g constancia,16990,1000,16.99,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado soluble dulce de leche x95g,28990,95,305.16,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado vanicanela x95g,28990,95,305.16,gr,despensa
MAGGI,Caldo de gallina Maggi cubos x48und x528g,22990,528,43.54,gr,despensa
OLIVETTO,Aceite Olivetto oliva para freír x1000ml,26990,1429,18.89,ml,despensa
TONING,Granola Toning x500g,9590,500,19.18,gr,despensa
LA SOBERANA,Atún lomitos La Soberana agua x 140g,7190,91,79.01,gr,despensa
TOSH,Granola Tosh artesanal semillas chía x300g,8990,300,29.97,gr,despensa
FRUCO,Mayonesa fruco artesanal x140g,5990,200,29.95,gr,despensa
DONAREPA,Mezcla Doñarepa de choclo x1000g,9290,1000,9.29,gr,despensa
PANELADA,Mezcla Panelada pack x4 sobres x29g c-u,4790,116,41.29,gr,despensa
HEINZ,Salsa de tomate heinz x567g,19990,567,35.26,gr,despensa
MAIZENA,Mezcla Maizena natilla x600g,12390,857,14.46,gr,despensa
HAZ DE OROS,Harina de trigo Haz De Oros integral x500g,3590,625,5.74,gr,despensa
ABURRA,Lenteja Aburrá x500g,3990,500,7.98,gr,despensa
AGUILA ROJA,Café Águila Roja x1000g,32990,1000,32.99,gr,despensa
AJINOMEN,Sopa Ajinomen instantánea fideos carne x80g,3090,80,38.63,gr,despensa
MAIZENA,Mezcla Maizena buñuelos x800g,12990,1142,11.37,gr,despensa
FONCE,Panela Fonce orgánica pulverizada x500g,7390,500,14.78,gr,despensa
FONCE,Panela Fonce pastilla x450g,3890,450,8.64,gr,despensa
MILO,Alimento Milo en polvo bajo en azúcar bolsa x500g,23590,500,47.18,gr,despensa
CANOLA LIFE,Aceite Canola Life bajo en grasa saturada x1L,24990,1429,17.49,ml,despensa
BARILLA,Pasta Penne Rigate Barilla x500g,11590,500,23.18,gr,despensa
CORONA,Cocoa Superior Corona x230g,9190,230,39.96,gr,despensa
ALAMAR,Atun alamar bocados agua x140g,6990,91,76.81,gr,despensa
MAIZENA,Almidón de yuca Yucarina Maizena x300g,10590,429,24.71,gr,despensa
QUAKER,Avena Quaker molida original x350g gratis extracontenido,4990,350,14.26,gr,despensa
KRAFT,Mayonesa Kraft 22 fl oz x650ml,24590,650,37.83,ml,despensa
CLIGHT,Refresco instantaneo Clight naranja x14g,2190,14,156.43,gr,despensa
CLIGHT,Refresco instantaneo Clight limon x14g,2190,14,156.43,gr,despensa
LA CONSTANCIA,Mayonesa La Constancia baja grasa x600g,11390,600,18.98,gr,despensa
TOSH,Aromatica Tosh manzanilla jengibre limón miel x20und x1,1g c/u,6990,28,254.18,gr,despensa
MILO,Alimento Milo en polvo bolsa x1500g,59990,1500,39.99,gr,despensa
TOSH,Barra de cereal Tosh frutas del bosque yogurt griego x6und x162g,10590,162,65.37,gr,despensa
MAGGI,Caldo de gallina Maggi Doble Gusto con especias cubos x12und x120g,5790,120,48.25,gr,despensa
AJINOMEN,Sopa Ajinomen instantánea fideos gallina picante x80g,3090,80,38.63,gr,despensa
COLCAFE,Café Colcafé instantáneo clásico x250g,26990,250,107.96,gr,despensa
FLIPS,Cereal Flips chocolate x320g,15590,320,48.72,gr,despensa
ABURRA,Frijol Aburra cargamanto importado x500g,9890,500,19.78,gr,despensa
CONZAZONI,Pasta Spaghetti Conzazoni x1000g,14390,1000,14.39,gr,despensa
DOÑA BETTY,Semillas de chía Doña Betty x200g,10390,200,51.95,gr,despensa
CASTELLANO,Arroz Castellano Premium jazmín x500g,11390,500,22.78,gr,despensa
LA BASTILLA,Café La Bastilla tostado molido fuerte x450g,16990,450,37.76,gr,despensa
LA NIEVE,Spaghetti La Nieva x250g,1450,250,5.8,gr,despensa
AGUILA ROJA,Café Águila Roja x250g,9590,250,38.36,gr,despensa
EXCELENCIA,Aceituna excelencia negra deshuesada x 350 g,9990,176,56.61,gr,despensa
FARCHIONI,Aceite Farchioni oliva extra virgen x1L,47990,1429,33.59,ml,despensa
ZENU,Fríjoles Zenú antioqueños x 310g,5990,310,19.32,gr,despensa
MILO,Alimento Milo en polvo bajo en azúcar bolsa x200g,10990,200,54.95,gr,despensa
CUISINE & CO NBE MP,Vinagre Cuisine&Co blanco x500ml,2390,500,4.78,ml,despensa
EL REY,Condimento El Rey cebolla x60g,1450,60,24.17,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado clásico soluble x50g,13390,50,267.8,gr,despensa
EL DORADO,Pasta El Dorado Spaghetti Arroz Sin Gluten x 250g,6790,312,21.73,gr,despensa
TOSH,Cacao Tosh en polvo x200g,9590,200,47.95,gr,despensa
FRUCO,Mayonesa Fruco receta artesanal x440g,21990,629,34.98,gr,despensa
CORONA,Chocolate Corona clavos y canela resellable 20 pastillas x500g,8990,500,17.98,gr,despensa
CORONA,Chocolate Corona x250g,5190,250,20.76,gr,despensa
REFISAL,Sal Refisal bolsa x3000g,6590,2995,2.2,gr,despensa
SAN JORGE,Pasta de Tomate San Jorge Doypack x 200g,5190,200,25.95,gr,despensa
