marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
MATIZ,Cafe Ultrafino Instantaneo MATIZ 150 Gr,19040,150,126.93,gr,despensa
KARAVANSAY,SEMILLA DE CHIA KARAVANSAY Karavansay 250 Gr,22400,250,89.6,gr,despensa
BUENDIA,Cafe Molido Alta BUENDIA 340 Gr,22700,340,66.76,gr,despensa
SPECIAL K,CEREAL ORIGI SPECIAL K 400 Gr,19900,400,49.75,gr,despensa
BUCATTI,VINAGRE BALSAMICO BUCATTI 250 Ml,18400,250,73.6,ML,despensa
PLATINO,Arroz Premium PLATINO 2500 Gr,14800,2500,5.92,gr,despensa
BARILLA MARCA EXCLUSIVA,Cannelloni. BARILLA MARCA EXCLUSIVA 250 Gr,10125,250,40.5,gr,despensa
BARILLA MARCA EXCLUSIVA,Spagheti Gluten Free. BARILLA MARCA EXCLUSIVA 400 Gr,12375,400,30.94,gr,despensa
BUCATTI,Salsas Bolognesa BUCATTI 480 Gr,18200,480,37.92,gr,despensa
ZENU,DUO PACK ARVEJA ZANAHORIA ZENU 600 Gr,7920,600,13.2,gr,despensa
AZTECA,Queso Cheddar Doy Pack AZTECA 200 Gr,10300,200,51.5,gr,despensa
FLORESUR MARCA EXCLUSIVA,Aceituna Rellen.De Piment FLORESUR MARCA EXCLUSIVA 300 Gr,7900,130,60.77,gr,despensa
FONCE,PANELA PASTILLA FONCE 900 Gr,7300,900,8.11,gr,despensa
VAN CAMPS,Pescado En Cons Salsa De Tomate VAN CAMPS 170 Gr,5865,119,49.29,gr,despensa
ZENU,Champinon Tajado ZENU 230 Gr,6160,120,51.33,gr,despensa
PASTAS EL DORADO,PASTA DE QUINOA EL DORADO FUSI PASTAS EL DORADO 250 Gr,8700,250,34.8,gr,despensa
FRESCAMPO,Compota De Durazno FRESCAMPO 118.483 Ml,2900,118,24.48,ML,despensa
FRESCAMPO,Tomillo Frasco FRESCAMPO 26 Gr,7900,26,303.85,gr,despensa
LA CORUNA,Alcaparra En Vinagre X 125 Grs LA CORUNA 125 Gr,4600,65,70.77,gr,despensa
FRESCAMPO,OREGANO FRASCO FRESCAMPO 14 Gr,5600,14,400,gr,despensa
SIRAJ,YERBA MATE TARAGUI SUELTO SIRAJ 500 Gr,25900,500,51.8,gr,despensa
JUAN VALDEZ,CAFE MOLIDO HUILA JUAN VALDEZ 283 Gr,37200,283,131.45,gr,despensa
AVINAL,CLARAS DE HUEVO 1000,32600,1000,32.6,ML,despensa
OLEO HASS BODY CARE,ACEITE AGUACATE EXTRA VIRGEN OLEO HASS BODY CARE 250 Ml,30000,250,120,ML,despensa
JAIBEL,Aromaticas Herbales Frt.Surti JAIBEL 90 Gr,30800,90,342.22,gr,despensa
